id,company,public_repos,followers,following,public_gists,hireable,location_category,language
193,0,15.0,70.0,101.0,0.0,1,0,18
195,0,38.0,34.0,31.0,2.0,1,1,0
196,0,41.0,14.0,18.0,3.0,1,1,3
197,1,40.0,248.0,146.0,14.0,1,0,0
200,1,50.0,129.0,51.0,16.0,0,1,0
201,1,113.0,231.0,86.0,6.0,1,0,0
202,1,38.0,41.0,84.0,2.0,0,0,0
203,1,47.0,105.0,17.0,22.0,0,1,0
204,1,9.0,4.0,4.0,0.0,0,1,0
205,0,80.0,10.0,16.0,1.0,0,0,3
206,1,19.0,102.0,47.0,0.0,0,1,16
207,1,25.0,10.0,7.0,7.0,1,1,0
208,1,1.0,60.0,91.0,3.0,0,1,7
209,0,37.0,75.0,22.0,70.0,1,1,4
210,1,32.0,10.0,18.0,0.0,0,0,6
211,1,7.0,9.0,24.0,0.0,1,0,-1
212,1,15.0,3.0,10.0,0.0,0,0,0
213,1,192.0,11.0,93.0,0.0,0,0,3
215,1,14.0,41.0,25.0,1.0,1,1,3
217,1,22.0,36.0,6.0,0.0,1,1,3
219,1,66.0,137.0,417.0,0.0,1,1,8
220,1,15.0,33.0,32.0,0.0,0,1,3
221,1,28.0,9.0,5.0,8.0,1,1,0
222,1,77.0,35.0,90.0,0.0,1,0,0
224,1,3.0,9.0,31.0,1.0,0,0,0
225,1,7.0,6.0,4.0,0.0,0,0,6
226,1,89.0,87.0,44.0,2.0,0,1,3
227,0,27.0,11.0,53.0,2.0,1,1,0
229,1,5.0,8.0,10.0,1.0,0,1,6
230,1,71.0,25.0,128.0,5.0,0,0,0
231,1,42.0,47.0,79.0,3.0,1,1,0
233,1,94.0,106.0,51.0,24.0,0,1,12
234,1,39.0,35.0,20.0,0.0,0,1,3
235,1,165.0,25.0,50.0,0.0,1,0,9
236,1,56.0,58.0,45.0,62.0,1,1,4
237,0,105.0,13.0,31.0,2.0,0,0,12
238,0,12.0,12.0,15.0,1.0,1,1,7
239,1,692.0,71.0,742.0,2.0,1,0,19
240,1,354.0,513.0,4.0,10.0,1,1,9
241,1,90.0,49.0,53.0,25.0,1,0,14
242,1,2.0,34.0,57.0,0.0,0,0,0
243,0,96.0,129.0,9.0,43.0,1,1,3
244,1,47.0,52.0,33.0,7.0,0,1,0
245,1,14.0,3.0,16.0,0.0,0,0,3
246,1,155.0,33.0,31.0,0.0,0,0,0
247,1,90.0,49.0,9.0,2.0,0,0,20
248,1,10.0,31.0,9.0,0.0,0,0,8
249,1,5.0,20.0,31.0,0.0,1,0,8
250,1,94.0,60.0,16.0,10.0,0,1,0
251,1,24.0,34.0,24.0,0.0,0,1,0
252,0,43.0,10.0,8.0,0.0,1,1,0
253,1,201.0,1260.0,6.0,58.0,1,1,4
254,1,22.0,22.0,35.0,3.0,1,1,14
255,1,19.0,93.0,15.0,7.0,0,0,6
256,1,11.0,17.0,16.0,0.0,0,1,15
257,1,39.0,28.0,40.0,22.0,0,1,7
258,1,147.0,315.0,80.0,53.0,0,1,14
259,1,12.0,51.0,14.0,0.0,1,1,3
260,1,142.0,173.0,122.0,77.0,0,1,3
261,0,4.0,127.0,109.0,12.0,0,1,17
262,1,104.0,124.0,126.0,29.0,0,1,0
263,0,34.0,38.0,45.0,233.0,1,1,4
264,1,39.0,59.0,45.0,3.0,0,0,0
265,1,86.0,72.0,22.0,10.0,1,1,0
266,0,15.0,55.0,11.0,0.0,0,0,8
267,0,23.0,16.0,6.0,0.0,1,1,3
268,1,10.0,14.0,7.0,0.0,0,1,15
269,1,164.0,150.0,84.0,17.0,0,1,6
270,1,111.0,50.0,39.0,34.0,0,1,12
271,1,61.0,56.0,16.0,0.0,1,1,19
272,1,8.0,22.0,8.0,3.0,1,1,0
273,0,29.0,20.0,159.0,0.0,0,0,12
274,1,68.0,35.0,38.0,14.0,0,1,21
275,1,183.0,123.0,40.0,26.0,0,1,9
276,1,207.0,13.0,18.0,2.0,1,0,0
277,1,51.0,165.0,41.0,3.0,1,1,5
278,1,23.0,24.0,147.0,1.0,1,0,0
279,1,118.0,46.0,62.0,0.0,0,0,12
280,1,102.0,51.0,1.0,18.0,0,1,0
281,1,15.0,25.0,231.0,0.0,1,0,0
282,1,87.0,26.0,256.0,2.0,1,0,3
283,1,19.0,4.0,1.0,1.0,1,1,0
284,1,80.0,66.0,83.0,11.0,0,1,0
285,0,141.0,13.0,49.0,4.0,0,0,3
286,1,36.0,37.0,16.0,0.0,0,1,3
287,1,21.0,12.0,13.0,8.0,1,1,0
289,1,302.0,10.0,15.0,0.0,1,0,3
290,1,20.0,31.0,11.0,7.0,1,0,0
291,1,40.0,99.0,206.0,45.0,0,1,8
292,1,30.0,8.0,6.0,1.0,0,1,22
293,1,37.0,37.0,35.0,17.0,1,1,0
294,1,15.0,21.0,10.0,8.0,0,1,0
295,1,0.0,10.0,18.0,3.0,0,0,-1
296,1,51.0,127.0,38.0,19.0,1,1,4
298,1,181.0,145.0,540.0,27.0,1,1,3
300,1,82.0,67.0,3.0,15.0,0,0,3
301,1,84.0,73.0,130.0,4.0,0,1,23
303,1,33.0,286.0,116.0,6.0,0,0,3
305,0,140.0,58.0,64.0,6.0,1,1,0
306,1,54.0,15.0,20.0,9.0,1,0,8
307,0,50.0,13.0,59.0,1.0,0,0,4
308,1,28.0,1131.0,83.0,3.0,0,0,0
309,1,187.0,123.0,232.0,51.0,1,1,0
310,1,103.0,88.0,89.0,7.0,1,0,0
311,1,42.0,21.0,66.0,0.0,0,1,0
312,1,29.0,23.0,48.0,0.0,1,0,9
313,1,12.0,10.0,26.0,1.0,1,1,7
314,1,125.0,75.0,40.0,10.0,0,1,0
315,1,30.0,16.0,23.0,0.0,1,1,1
316,1,65.0,10.0,33.0,8.0,1,0,0
317,1,27.0,41.0,50.0,33.0,0,1,16
318,1,24.0,181.0,59.0,8.0,1,0,0
320,1,320.0,217.0,68.0,68.0,0,1,12
321,1,167.0,76.0,210.0,29.0,0,1,0
322,1,55.0,37.0,18.0,11.0,0,1,3
324,1,25.0,91.0,15.0,4.0,0,0,24
325,1,44.0,83.0,2.0,4.0,0,0,25
326,0,570.0,419.0,88.0,86.0,0,1,0
327,0,52.0,25.0,9.0,49.0,0,1,0
328,1,29.0,24.0,9.0,18.0,0,1,0
329,1,12.0,0.0,0.0,8.0,0,0,0
330,1,73.0,48.0,18.0,9.0,0,1,8
331,1,11.0,43.0,37.0,0.0,0,1,1
332,1,34.0,159.0,378.0,8.0,1,0,0
333,1,198.0,221.0,36.0,58.0,0,1,0
335,0,22.0,43.0,117.0,2.0,1,1,0
336,1,85.0,224.0,36.0,0.0,0,1,12
338,1,53.0,581.0,119.0,0.0,0,0,1
339,1,25.0,15.0,64.0,17.0,0,1,0
340,1,69.0,33.0,14.0,4.0,0,0,9
341,1,33.0,56.0,21.0,1.0,0,1,0
343,1,59.0,345.0,65.0,2.0,1,1,20
345,0,96.0,1130.0,55.0,2.0,0,1,11
346,1,77.0,96.0,56.0,45.0,1,1,0
347,1,30.0,21.0,24.0,34.0,1,1,8
348,1,10.0,30.0,28.0,0.0,0,0,26
349,0,45.0,16.0,33.0,0.0,0,0,0
350,0,35.0,33.0,49.0,6.0,0,1,0
351,1,46.0,37.0,31.0,5.0,1,1,0
352,1,155.0,47.0,115.0,15.0,0,0,0
353,0,72.0,49.0,2.0,4.0,1,0,0
354,1,35.0,11.0,15.0,1.0,1,1,27
355,1,19.0,0.0,0.0,0.0,0,0,3
357,1,75.0,111.0,56.0,16.0,1,1,0
358,1,164.0,107.0,52.0,30.0,0,1,15
359,1,84.0,87.0,18.0,1.0,0,1,6
360,1,245.0,588.0,105.0,5.0,0,1,7
362,1,42.0,44.0,44.0,1.0,0,1,0
364,1,593.0,45.0,297.0,2.0,1,0,12
365,1,40.0,11.0,2.0,1.0,1,0,8
366,0,82.0,50.0,38.0,2.0,0,1,19
367,1,31.0,14.0,20.0,1.0,0,1,3
368,1,103.0,172.0,99.0,20.0,0,0,10
369,1,27.0,9.0,9.0,0.0,0,1,3
370,0,77.0,55.0,71.0,0.0,0,1,12
371,1,29.0,16.0,13.0,1.0,1,0,0
372,1,26.0,19.0,16.0,2.0,0,1,9
373,1,16.0,43.0,25.0,2.0,0,1,1
374,1,131.0,200.0,26.0,1.0,0,0,11
376,1,160.0,314.0,120.0,7.0,1,1,0
377,1,12.0,9.0,10.0,1.0,0,1,0
378,1,169.0,1277.0,24.0,6.0,0,1,0
379,1,55.0,32.0,25.0,6.0,1,0,0
380,1,2.0,23.0,36.0,23.0,0,1,-1
382,0,11.0,11.0,23.0,5.0,1,0,16
383,0,18.0,219.0,197.0,0.0,0,1,3
384,1,11.0,19.0,17.0,1.0,1,1,0
385,1,1.0,13.0,9.0,3.0,0,1,28
386,1,23.0,34.0,27.0,1.0,0,0,0
387,1,61.0,12.0,32.0,0.0,0,1,3
388,1,38.0,33.0,53.0,0.0,1,1,0
389,1,33.0,12.0,12.0,29.0,0,0,8
390,1,15.0,8.0,7.0,0.0,1,1,3
391,0,1.0,10.0,10.0,0.0,1,1,-1
392,1,48.0,53.0,19.0,0.0,0,0,17
393,0,263.0,684.0,222.0,280.0,0,1,4
394,1,206.0,95.0,7.0,0.0,0,0,1
395,0,38.0,39.0,0.0,45.0,0,0,0
396,1,14.0,18.0,10.0,1.0,0,1,8
397,1,11.0,37.0,58.0,1.0,0,0,0
400,1,6.0,22.0,111.0,8.0,0,0,28
401,1,15.0,247.0,22.0,0.0,1,1,3
402,0,5.0,9.0,4.0,20.0,1,0,8
403,1,51.0,0.0,0.0,19.0,0,1,4
404,1,22.0,44.0,44.0,32.0,0,1,17
405,1,52.0,13.0,11.0,3.0,0,1,9
407,1,34.0,12.0,35.0,2.0,0,1,0
409,1,84.0,65.0,41.0,20.0,0,1,0
410,1,17.0,20.0,25.0,0.0,0,1,3
412,1,0.0,52.0,109.0,89.0,0,0,-1
413,1,116.0,245.0,36.0,67.0,0,1,9
416,1,149.0,193.0,25.0,5.0,0,1,0
417,1,141.0,45.0,84.0,3.0,0,0,3
419,1,16.0,27.0,26.0,5.0,0,1,4
420,1,29.0,105.0,109.0,0.0,0,1,3
422,0,49.0,31.0,64.0,1.0,0,1,10
423,1,26.0,56.0,38.0,12.0,1,1,0
424,1,30.0,4.0,6.0,0.0,0,0,0
425,1,356.0,149.0,662.0,85.0,1,1,0
426,0,73.0,118.0,103.0,6.0,0,1,4
427,1,13.0,16.0,44.0,0.0,0,1,1
428,1,42.0,12.0,17.0,51.0,1,0,8
429,1,21.0,11.0,10.0,0.0,0,0,3
430,1,42.0,225.0,11.0,0.0,0,0,3
432,1,60.0,148.0,0.0,62.0,1,0,8
433,1,78.0,36.0,193.0,358.0,0,1,12
434,1,26.0,6.0,1.0,1.0,1,0,3
435,1,5.0,43.0,22.0,4.0,1,1,3
436,0,123.0,23.0,32.0,12.0,1,1,0
437,1,89.0,188.0,51.0,74.0,0,1,0
438,0,15.0,16.0,27.0,0.0,0,0,17
439,1,59.0,69.0,35.0,13.0,1,0,0
440,1,82.0,199.0,224.0,141.0,1,1,0
442,1,186.0,166.0,79.0,44.0,1,1,3
443,0,0.0,12.0,31.0,3.0,1,1,-1
444,1,195.0,40.0,119.0,15.0,1,0,0
445,1,89.0,78.0,31.0,19.0,0,1,3
446,1,17.0,9.0,37.0,0.0,0,0,10
448,1,18.0,11.0,22.0,0.0,1,0,8
449,1,42.0,16.0,14.0,0.0,1,0,12
450,1,29.0,120.0,77.0,0.0,1,0,3
451,1,32.0,56.0,32.0,2.0,1,0,12
453,1,4.0,7.0,1.0,0.0,0,1,15
454,1,106.0,78.0,50.0,7.0,1,0,4
455,1,402.0,20.0,85.0,0.0,1,0,8
457,1,34.0,143.0,31.0,22.0,0,1,0
458,0,71.0,73.0,112.0,11.0,1,1,0
459,1,111.0,149.0,32.0,38.0,1,1,0
460,1,103.0,14.0,61.0,46.0,1,1,0
461,0,7.0,16.0,14.0,4.0,1,1,17
462,0,8.0,5.0,8.0,0.0,0,1,6
463,1,26.0,19.0,30.0,9.0,1,0,0
465,1,21.0,194.0,38.0,0.0,1,1,7
466,1,40.0,25.0,40.0,2.0,0,0,3
467,1,36.0,133.0,16.0,11.0,1,1,3
468,1,99.0,112.0,45.0,0.0,1,0,8
469,1,39.0,129.0,87.0,2.0,0,1,0
471,1,31.0,47.0,2.0,16.0,1,1,0
472,1,3.0,13.0,1.0,0.0,1,1,3
473,1,69.0,124.0,117.0,4.0,1,0,3
474,1,18.0,10.0,33.0,0.0,0,0,16
475,1,20.0,50.0,4.0,0.0,0,0,12
476,1,43.0,35.0,66.0,1.0,0,1,3
477,1,51.0,54.0,86.0,1.0,1,1,0
478,1,26.0,76.0,68.0,2.0,1,0,17
479,1,4.0,240.0,8.0,2.0,1,0,21
480,1,37.0,17.0,130.0,1.0,0,0,9
481,0,63.0,38.0,91.0,21.0,0,1,0
482,1,22.0,14.0,41.0,0.0,0,1,1
483,1,61.0,15.0,169.0,2.0,0,0,16
484,1,45.0,11.0,26.0,1.0,0,1,0
486,1,3.0,5.0,10.0,0.0,0,1,1
487,1,243.0,77.0,7.0,39.0,1,1,3
488,1,33.0,11.0,6.0,1.0,0,0,12
490,1,14.0,36.0,24.0,0.0,1,0,12
492,1,28.0,111.0,316.0,7.0,1,0,3
493,1,119.0,63.0,357.0,3.0,1,1,0
494,1,68.0,8232.0,148.0,1.0,0,0,0
495,1,29.0,223.0,7.0,17.0,0,1,14
497,1,95.0,249.0,104.0,103.0,0,1,4
498,0,83.0,82.0,30.0,48.0,0,1,0
499,1,239.0,38.0,15.0,22.0,1,1,0
500,1,35.0,44.0,20.0,13.0,0,1,0
501,1,110.0,100.0,110.0,63.0,0,0,6
502,0,34.0,69.0,51.0,1.0,1,1,16
505,1,8.0,44.0,21.0,0.0,0,0,16
506,1,348.0,178.0,18.0,12.0,0,1,3
507,1,228.0,127.0,39.0,707.0,0,1,0
508,1,45.0,127.0,45.0,40.0,0,0,0
511,1,48.0,27.0,5.0,4.0,0,1,0
512,1,44.0,54.0,79.0,1.0,1,1,3
513,1,43.0,5.0,12.0,0.0,1,0,12
515,0,82.0,62.0,75.0,44.0,0,1,3
517,1,44.0,9.0,4.0,12.0,1,1,3
518,1,2.0,4.0,7.0,0.0,0,0,12
519,1,35.0,8.0,32.0,5.0,1,1,3
520,1,16.0,9.0,9.0,8.0,0,1,0
522,1,115.0,97.0,234.0,130.0,0,1,8
523,0,40.0,14.0,27.0,0.0,1,1,0
524,1,88.0,30.0,126.0,1.0,1,0,0
526,1,29.0,58.0,28.0,2.0,1,0,13
527,0,95.0,19.0,19.0,6.0,1,0,12
528,1,22.0,9.0,11.0,1.0,0,0,0
530,1,61.0,4.0,64.0,11.0,0,0,0
531,1,47.0,40.0,137.0,1.0,1,0,0
532,1,119.0,153.0,90.0,0.0,0,0,3
534,1,83.0,92.0,40.0,0.0,0,1,0
535,1,90.0,64.0,21.0,26.0,1,0,8
536,0,23.0,63.0,68.0,3.0,0,0,3
537,0,4.0,10.0,29.0,0.0,0,0,0
538,1,43.0,47.0,100.0,0.0,0,0,0
541,1,59.0,51.0,90.0,105.0,0,1,0
542,1,16.0,26.0,9.0,1.0,0,0,0
543,1,49.0,182.0,20.0,0.0,1,0,3
544,0,8.0,22.0,48.0,6.0,0,1,3
545,0,50.0,51.0,57.0,63.0,1,0,0
546,1,27.0,77.0,90.0,0.0,1,0,0
547,1,86.0,105.0,39.0,10.0,1,0,3
551,1,79.0,70.0,251.0,18.0,0,1,23
552,1,71.0,307.0,14.0,36.0,1,1,30
553,1,41.0,177.0,25.0,7.0,0,1,8
554,1,15.0,7.0,45.0,0.0,0,0,12
555,1,140.0,84.0,391.0,17.0,1,0,0
557,1,22.0,813.0,31.0,32.0,1,1,4
558,1,79.0,13.0,41.0,2.0,1,1,12
560,1,9.0,25.0,63.0,3.0,0,1,6
561,1,34.0,43.0,121.0,0.0,0,0,3
563,1,49.0,69.0,52.0,1.0,0,1,0
565,1,71.0,4.0,17.0,4.0,1,1,1
566,1,20.0,9.0,14.0,2.0,0,0,7
567,1,29.0,29.0,42.0,6.0,0,1,4
568,1,24.0,19.0,23.0,8.0,0,1,0
569,1,23.0,40.0,15.0,0.0,0,0,12
570,1,62.0,36.0,119.0,6.0,0,1,23
571,1,22.0,137.0,110.0,22.0,0,0,3
572,1,173.0,8.0,9.0,5.0,1,1,3
573,1,18.0,45.0,60.0,7.0,0,0,0
574,1,183.0,17.0,85.0,0.0,0,0,8
575,1,14.0,12.0,10.0,5.0,1,1,0
576,1,106.0,88.0,130.0,1.0,0,0,0
577,0,179.0,75.0,36.0,56.0,1,1,0
578,1,203.0,0.0,0.0,2.0,1,1,16
579,1,55.0,17.0,12.0,8.0,1,0,0
580,1,31.0,22.0,17.0,0.0,1,0,8
581,1,17.0,8.0,10.0,0.0,0,0,0
582,1,52.0,24.0,51.0,1.0,0,0,8
583,0,66.0,65.0,100.0,0.0,1,1,3
584,1,162.0,64.0,27.0,22.0,1,1,4
585,1,22.0,4.0,9.0,5.0,1,0,0
586,1,15.0,14.0,100.0,1.0,1,1,12
588,0,47.0,82.0,142.0,9.0,1,1,3
589,1,34.0,29.0,23.0,18.0,1,1,4
590,1,239.0,50.0,8.0,28.0,1,0,3
591,1,62.0,75.0,190.0,33.0,0,1,7
593,0,102.0,588.0,87.0,163.0,0,1,31
594,1,36.0,9.0,27.0,0.0,1,0,12
595,0,12.0,88.0,376.0,9.0,1,0,7
596,0,79.0,110.0,150.0,1.0,0,0,3
597,0,48.0,97.0,171.0,7.0,1,0,0
598,0,88.0,130.0,135.0,4.0,1,1,23
599,1,4.0,15.0,10.0,2.0,0,1,4
600,1,67.0,61.0,29.0,4.0,0,1,0
601,1,14.0,8.0,44.0,0.0,0,1,1
602,1,41.0,113.0,118.0,4.0,0,1,0
603,1,138.0,101.0,203.0,7.0,1,1,4
604,1,89.0,15.0,14.0,4.0,0,0,14
605,1,15.0,18.0,29.0,0.0,0,0,0
606,1,111.0,41.0,68.0,20.0,1,1,4
607,1,5.0,53.0,10.0,1.0,0,1,17
608,1,172.0,261.0,86.0,6.0,1,0,9
609,0,480.0,114.0,61.0,17.0,0,0,14
610,1,76.0,56.0,164.0,27.0,0,0,5
611,0,196.0,36.0,208.0,0.0,0,0,12
612,1,354.0,141.0,81.0,39.0,1,0,8
613,1,12.0,8.0,22.0,3.0,0,1,16
614,1,62.0,62.0,36.0,1.0,0,1,0
616,1,13.0,18.0,8.0,0.0,0,0,0
617,1,45.0,20.0,18.0,5.0,0,1,8
618,0,107.0,37.0,160.0,9.0,0,0,0
620,1,29.0,5.0,14.0,0.0,0,0,0
621,1,220.0,33.0,236.0,0.0,0,0,12
622,1,102.0,39.0,84.0,0.0,1,0,0
623,1,38.0,346.0,99.0,4.0,0,1,7
624,1,13.0,17.0,25.0,0.0,0,1,0
625,1,93.0,33.0,37.0,5.0,1,1,3
627,1,114.0,170.0,312.0,9.0,1,0,16
628,0,65.0,42.0,20.0,0.0,1,1,0
629,1,69.0,7.0,9.0,45.0,1,1,0
630,1,228.0,169.0,28.0,40.0,0,0,12
631,1,33.0,141.0,6.0,2.0,1,0,0
632,1,212.0,27.0,34.0,2.0,1,0,17
633,1,2.0,18.0,21.0,2.0,0,0,7
634,1,16.0,17.0,96.0,4.0,1,0,0
635,1,144.0,89.0,48.0,12.0,0,1,0
